"","x"
"1",42.37395370753
"2",48.4542687086892
"3",41.6631412128875
"4",69.4301264090743
"5",45.0768085956599
"6",36.4896664684325
"7",255.772911889161
"8",71.3413827528109
"9",76.9172600758531
"10",48.2502230413763
"11",257.302239246656
"12",39.0697246818055
"13",117.515951687358
"14",889.160453184108
"15",43.1412449045345
"16",52.0630715975327
"17",58.5624655183365
"18",38.6227790746238
"19",62.0528891852153
"20",43.2616294185962
"21",121.254257716056
"22",44.9090870655106
"23",70.9032083374038
"24",112.224757153222
"25",57.6448344581123
"26",38.7830618593731
"27",109.990188547358
"28",44.7750802258469
"29",38.8947660624371
"30",49.3599823784173
"31",157.572569472506
"32",51.9220062101015
"33",36.906191802597
"34",69.6645585199124
"35",36.2229538857037
"36",65.3534089495573
"37",39.7724515311616
"38",53.183049617985
"39",74.3053908844816
"40",55.1190567179228
"41",48.1885589532092
"42",80.2943170888577
"43",55.4978458905374
"44",46.9509544350366
"45",64.8722594768746
"46",37.2196264695597
"47",38.854595586554
"48",40.3671940169083
"49",54.7761141721576
"50",39.7064817870102
"51",167.41261734024
"52",49.2229591638384
"53",168.50052624772
"54",51.9128281393693
"55",NA
"56",54.5287152910211
"57",176.379044094009
"58",50.2723672873303
"59",121.756787392997
"60",72.0745280252776
"61",49.227644554244
"62",50.1578820428531
"63",38.6227772954558
"64",40.7107310709247
"65",52.7593619665427
"66",61.0583465218991
"67",124.458506079397
"68",40.5254377918368
"69",87.9916334357599
"70",40.0928575425592
"71",54.5734629017814
"72",54.5011008253114
"73",38.7836706019242
"74",48.1878538813978
"75",37.3401533729899
"76",63.1960558040334
"77",49.9768853881765
"78",40.9369566754377
"79",44.9501675569156
"80",66.306319200776
"81",39.9452532890005
"82",70.3224820145004
"83",47.956926800254
"84",39.021561832098
"85",68.386443499014
"86",37.7540134932133
"87",84.1212828673472
"88",58.7198297294752
"89",41.0236632126032
"90",36.2414025745509
"91",36.1800850927169
"92",37.0179361947379
"93",289.383152323535
"94",787.046512362351
"95",36.7362192014663
"96",48.6177311461839
"97",40.272431306618
"98",39.2746658336749
"99",56.5635864227873
"100",52.4300962060844
"101",36.5328571177259
"102",47.9695694723724
"103",389.524754282754
"104",37.4063545173083
"105",78.891178850978
"106",38.2664377990109
"107",64.9963003546072
"108",119.529805550314
"109",46.2332068707422
"110",62.1394168535357
"111",46.7551850796867
"112",36.0067847009638
"113",41.3453151783649
"114",36.4582703458666
"115",45.3034922672451
"116",95.714021538814
"117",42.9333501661113
"118",57.909003569653
"119",38.4054709990835
"120",45.2863407397916
"121",41.9626395861325
"122",43.7575221002218
"123",54.6579455962067
"124",48.244646754423
"125",55.3171973247566
"126",35.9160431084091
"127",41.200860469067
"128",298.157943862128
"129",170.295313022007
"130",58.797258761382
"131",36.7631390882013
"132",37.3221593840688
"133",36.6957547565878
"134",59.7628919255678
"135",36.068762923535
"136",38.7620870989842
"137",40.0187289336908
"138",36.2225226025288
"139",83.4395770599084
"140",320.578805418589
"141",93.2856320984739
"142",70.9451555263478
"143",39.6707394725756
"144",41.5720320436938
"145",74.0986583901222
"146",48.6838578951764
"147",36.9234055643632
"148",50.6552893617858
"149",41.0976349350236
"150",46.2964928229765
"151",45.5335232315717
"152",44.9380280753875
"153",61.112321516305
"154",80.6316277361936
"155",40.2047300915117
"156",51.1032839981299
"157",36.8011352431024
"158",53.2460168779233
"159",71.6968842199293
"160",303.921526414805
"161",53.4391703717793
"162",67.2746512616346
"163",307.93494754589
"164",57.6001115970121
"165",52.5018415621924
"166",45.2617031399406
"167",37.6809007630963
"168",85.3647427440321
"169",78.5764906701466
"170",66.4380614714752
"171",37.5978896890931
"172",40.4916966772291
"173",57.138494082945
"174",54.8181175502386
"175",54.545151871055
"176",77.987933868938
"177",47.0345185336102
"178",39.0037416183976
"179",117.775889941923
"180",63.2357917796
"181",39.118862252601
"182",37.9673577796341
"183",217.193918377376
"184",36.4062196655717
"185",38.8081067214952
"186",37.453785290835
"187",51.6239038495086
"188",42.5427674602517
"189",223.257584326824
"190",91.4656711367439
"191",684.263457352094
"192",159.390877199163
"193",79.1779567377646
"194",52.1520439479806
"195",37.743512276773
"196",51.8018753960782
"197",236.876740525121
"198",44.2534212845013
"199",39.060667204196
"200",36.522682004819
"201",165.90766395366
"202",36.6647809010734
"203",42.9909071253813
"204",51.2678890410561
"205",68.9878256574947
"206",445.524510772433
"207",39.8036779587931
"208",314.618282831937
"209",43.2585280391416
"210",41.247514883319
"211",74.4562844249299
"212",36.5433334803486
"213",38.0179619476327
"214",272.723402702678
"215",38.0903393470939
"216",40.1394102940443
"217",54.3494479460574
"218",36.6524186930551
"219",165.967057702718
"220",41.5438859610017
"221",54.8452792221775
"222",222.066571905639
"223",69.8243791398684
"224",46.2636014499938
"225",46.1936678179037
"226",44.3408784743393
"227",37.1262920858103
"228",42.4724992583847
"229",46.6516830534734
"230",977.982572737129
"231",82.0018010082715
"232",53.4697849928742
"233",43.5354079593671
"234",55.5057648832955
"235",63.4475103526434
"236",37.9035415745357
"237",56.750613190885
"238",46.7672350339289
"239",39.5444315221408
"240",49.7040707731113
"241",36.1873661436535
"242",48.9480257482458
"243",114.950283807975
"244",48.2005735615188
"245",144.600392410592
"246",63.8736481226648
"247",47.3034535406645
"248",44.6592808947511
"249",60.0878353047829
"250",37.5798090294598
"251",52.2155666773338
"252",59.3983188266837
"253",41.180303603611
"254",42.1854993703435
"255",37.9142623797295
"256",43.6319493373766
"257",47.641958996349
"258",230.053767122607
"259",80.2184493346381
"260",37.9591200529695
