"","x"
"1",170.195181102499
"2",140.316288332447
"3",177.259526623486
"4",281.343287640011
"5",151.932386512568
"6",308.025255084985
"7",8448.80838098897
"8",303.661227452642
"9",371.019708301932
"10",140.793875633959
"11",8628.44518766454
"12",217.685868343328
"13",1047.44474531113
"14",NA
"15",163.810224432656
"16",134.951752284075
"17",134.212222372664
"18",228.233538794053
"19",196.019900969376
"20",162.908805706764
"21",1129.0018286217
"22",152.769272816474
"23",298.508791087673
"24",938.089698108164
"25",133.874762485022
"26",224.281486335461
"27",893.983409214711
"28",153.460778923547
"29",221.641932099322
"30",138.457237194126
"31",2133.92134592681
"32",135.072412397031
"33",287.12772410391
"34",284.06012932529
"35",323.4235145751
"36",234.631148444949
"37",203.724202609392
"38",134.192428443019
"39",338.921134146005
"40",133.59475364773
"41",140.942771488441
"42",414.261216118068
"43",133.567969650476
"44",144.425049839496
"45",229.12222502099
"46",273.508312657424
"47",222.580646969138
"48",193.915377484681
"49",133.642633374725
"50",204.916669142473
"51",2484.61676707931
"52",138.712724151438
"53",2525.8166594838
"54",135.080469428264
"55",NA
"56",133.69173077029
"57",2839.73618632124
"58",136.966545036985
"59",1140.24373948965
"60",312.330789977908
"61",138.70384325541
"62",137.134565967395
"63",228.233583780231
"64",188.936121443419
"65",134.439894566395
"66",183.492025214512
"67",1201.8362739782
"68",191.564661240202
"69",520.807929163458
"70",198.238890971674
"71",133.681924248745
"72",133.697989167461
"73",224.266852132971
"74",140.944486433241
"75",268.684765164782
"76",209.702246170315
"77",137.410952264922
"78",185.897020189575
"79",152.561392469469
"80",245.511747133444
"81",200.704558835891
"82",291.714143090912
"83",141.52160755764
"84",218.753892098083
"85",269.306544876382
"86",253.640363530177
"87",465.79910049414
"88",143.366266164224
"89",184.779115107444
"90",322.300880978965
"91",326.067268909763
"92",282.083910042132
"93",13703.7820932817
"94",NA
"95",295.235397206364
"96",139.949989093514
"97",195.372180403712
"98",213.310926089888
"99",133.62866564705
"100",134.665033544033
"101",305.69043502041
"102",141.489204060005
"103",2290458.67884237
"104",266.12509040269
"105",396.047739435169
"106",237.779041355276
"107",230.54402552338
"108",1090.92927305134
"109",146.937861425356
"110",197.076340885473
"111",145.070971492982
"112",337.280417411838
"113",180.844033315515
"114",309.748982529566
"115",150.849784785158
"116",639.711600694651
"117",165.427714803453
"118",133.960451085305
"119",233.923308451101
"120",150.929804331391
"121",174.132377599674
"122",159.448810731169
"123",133.66453071624
"124",140.807252001482
"125",133.577406976127
"126",343.510388042866
"127",182.571142199343
"128",15724.6080331153
"129",2594.89727799771
"130",145.886792032121
"131",293.914655265208
"132",269.391313831807
"133",297.247635472137
"134",165.140537536438
"135",333.17025989984
"136",224.787422693874
"137",199.464474431692
"138",323.449866716265
"139",456.41461213508
"140",23234.5903309419
"141",600.971707459671
"142",299.001067753711
"143",205.57221437159
"144",178.257942747994
"145",336.427643589633
"146",139.805817454033
"147",286.336435068862
"148",136.441433794609
"149",183.845092076712
"150",146.699784193524
"151",149.805517415768
"152",152.622624175049
"153",184.194830493559
"154",418.693299389478
"155",196.436338173515
"156",135.895517836926
"157",292.074423580003
"158",134.159548633147
"159",307.858194909557
"160",17279.0861161452
"161",134.064778200061
"162",256.567539127885
"163",18491.7354000793
"164",133.861208124653
"165",134.613447888571
"166",151.045284471582
"167",256.139492188422
"168",483.149427097285
"169",392.011674957315
"170",247.015030439011
"171",259.056082692891
"172",192.057498692221
"173",133.737923684289
"174",133.635525538664
"175",133.688080639504
"176",384.510303761164
"177",144.157864525556
"178",219.153045837742
"179",1052.99888721344
"180",210.169269713491
"181",216.612191190049
"182",246.700097332947
"183",5018.37342540415
"184",312.657073164011
"185",223.681692995038
"186",264.328801775918
"187",135.347301163812
"188",168.689068791921
"189",5445.3332833318
"190",572.757388661573
"191",NA
"192",2195.85154437699
"193",399.741284169499
"194",134.878678915037
"195",253.995392129721
"196",135.179893703267
"197",6538.51352486594
"198",156.359053345795
"199",217.885528683214
"200",306.236731107488
"201",2428.44612340846
"202",298.81021137617
"203",164.972002296999
"204",135.712495117359
"205",276.231195617998
"206",NA
"207",203.167531341596
"208",20799.6720277917
"209",162.931713586587
"210",182.006353017813
"211",340.745358372864
"212",305.130358474384
"213",245.12698401716
"214",10712.2240447684
"215",242.923275778918
"216",197.482028334214
"217",133.735199092994
"218",299.439344192155
"219",2430.64500085324
"220",178.571017191578
"221",133.631116307411
"222",5358.81374321289
"223",285.915352987229
"224",146.823101062666
"225",147.088313431904
"226",155.849171533697
"227",277.395472577737
"228",169.308594974583
"229",145.424080753878
"230",NA
"231",436.914001227981
"232",134.050588899793
"233",160.949921720824
"234",133.567692794283
"235",212.650436615149
"236",248.722965696812
"237",133.658628780809
"238",145.030390358384
"239",207.94365593517
"240",137.853251106947
"241",325.614740320493
"242",139.25223479071
"243",993.54432599546
"244",140.913591810744
"245",1726.81546594474
"246",217.612444956073
"247",143.331347230923
"248",154.075220632782
"249",170.108327063445
"250",259.702816119542
"251",134.827919809873
"252",159.025235148365
"253",182.822152412885
"254",171.95037491815
"255",248.380042391808
"256",160.288079351201
"257",142.360146240178
"258",5965.8187577681
"259",413.267238683389
"260",246.958750074652
"261",270.005466230535
"262",163.330944269013
"263",205.057278352675
"264",252.223206969888
"265",171.566527440961
"266",233.591278715006
"267",264.982246012107
"268",165.308765954361
"269",1650.33722115282
"270",376.002695494649
"271",830.91000194878
"272",149.046666549572
"273",265.741561973509
"274",240.775405116243
"275",306.630125868577
"276",215.855139470087
"277",217.857808489492
"278",1159.10172374782
"279",224.665095897805
"280",134.597604728894
"281",171.217955255989
"282",139.463855762551
"283",290.376096213388
"284",299.713794285403
"285",134.568348401962
"286",2689.6153365282
"287",164.794087037993
"288",233.212278827307
"289",135.857692319258
"290",241.937450451767
"291",133.889134711768
"292",316.253956647102
"293",152.908473799729
"294",371.811050311433
"295",215.002090863793
"296",143.020475188507
"297",751.632952694917
"298",188.209709538255
"299",135.433196386819
"300",683.579135726853
"301",165.277107539962
"302",923.462442923526
"303",135.525957415097
"304",141.321558684694
"305",1325.63419330253
"306",1413.42370684048
"307",136.431655726494
"308",1199.21020999831
"309",NA
"310",230.181641004853
"311",325.759280055864
"312",138.726216097246
"313",NA
"314",256.793988388013
"315",179.640372627922
"316",144.619601165386
"317",304.266829856194
"318",322.175160100903
"319",287.233588165681
"320",146.743493299449
"321",157.112484356329
"322",8681.36815365094
"323",133.577116302686
"324",216.060930544622
"325",207.718675428826
"326",292.389977884377
"327",175.799337733731
"328",206.805197756181
"329",445.307206460222
"330",278.303929342144
"331",193.897180411799
"332",301.030520821843
"333",1913.7466079482
"334",287.877192209336
"335",226.80340685843
"336",473.410455490866
"337",324.251168152399
"338",134.063724920527
"339",158.607988054054
"340",179.1150051983
"341",294.893811320053
"342",134.454585011377
"343",291.91599973799
"344",297.516440256126
"345",175.270314905678
"346",199.358250816464
"347",318.531796242651
"348",212.892312528741
"349",154.469258131355
"350",NA
"351",NA
"352",336.775171345763
"353",343.982378975829
"354",392.918858233176
"355",343.176560535844
"356",317.594751372637
"357",192.540064975221
"358",137.058320811142
"359",260.397268455364
"360",395.963386243619
"361",163.458048547862
"362",214240.204801633
"363",172.877546756012
"364",230.700297767143
"365",210.161786228454
"366",178.755332066478
"367",306.036338395724
"368",203.318997851031
"369",167.938990096786
"370",133.728740877939
"371",283.653967622209
"372",248.583148228751
"373",252.341768378891
"374",402.973607298445
"375",180.545700359242
"376",258.735908185486
"377",299.749654261289
"378",133.893467817764
"379",179.433314966162
"380",1542.10394351828
"381",150.373405487662
"382",NA
"383",133.876190801215
"384",133.566371102387
"385",151.517726528286
"386",239.445653222272
"387",134.329294471928
"388",156.387783402353
"389",198.119715645176
"390",266.621264780919
"391",153.602615337533
"392",790.427603120803
"393",168.790743865477
"394",226.575096020775
"395",160.072211983262
"396",259.036363896114
"397",NA
"398",165.702510959832
"399",268.782054047906
"400",168.674199385022
"401",233.376409532896
"402",2120542.51095566
"403",295.057144088319
"404",353.588219930311
"405",195.798363107766
"406",133.593545530412
"407",164.53176631862
"408",267.585274995433
"409",227.131632213202
"410",193.43598793229
"411",196.503364625307
"412",273.335337190071
"413",244.584606593528
"414",158.966526696219
"415",133.602912610514
"416",1160.94548867559
"417",2461.56974109231
"418",284.349626898179
"419",327.970884443105
"420",1202.48288709054
"421",209.289647114114
"422",343.177338304848
"423",1999.13834121312
"424",2005.45428815536
"425",211.985092381536
"426",236.761913967851
"427",322.381355223866
"428",168.971071157205
"429",766.840684180052
"430",638.053374917109
"431",133.692239621473
"432",326.036250782059
"433",208.128595007996
"434",182.777712743532
"435",229.080683524437
"436",466.744350670283
"437",223.705891878765
"438",221.781948328376
"439",214.948514567307
"440",140.92729378762
"441",230.503733523969
"442",229.093295279712
"443",134.221089674161
"444",157.74797560414
"445",NA
"446",331.145027894397
"447",4335.13222393397
"448",847.100289860626
"449",410.751053229971
"450",136.120286353625
"451",137.612745584859
"452",14013.3637530665
"453",275.36721672057
"454",203.605217638097
"455",205.595265578066
"456",NA
"457",294.690466582424
"458",312.427667396694
"459",1052.69115806526
"460",NA
"461",147.972470018571
"462",134.659713800105
"463",1507.58926665082
"464",192.532477081882
"465",267.162616953489
"466",464.006156041544
"467",6352.38085312366
"468",135.225004879661
"469",160.770044173489
"470",220.258823879408
"471",144.06712733057
"472",364.981907666756
"473",463.331932593272
"474",618.424132337147
"475",260.300477212202
"476",175.510161176712
"477",15644.9300538425
"478",176.947162820142
"479",134.122912269452
"480",208.537987428132
"481",264.055028233248
"482",133.794084876939
"483",759.520797706346
"484",261.115108690421
"485",159.137060765258
"486",133.698055832456
"487",213.084507702626
"488",253.331892452575
"489",154.492485282614
"490",153.721947051777
"491",135.239014946316
"492",775.124544876055
"493",NA
"494",273.874409746068
"495",234.816196261941
"496",134.769751575143
"497",289.229811164425
"498",143.483810748872
"499",1697.32195101018
"500",313.477937622865
"501",152.574990695767
"502",135.053727532582
"503",139.421154141453
"504",2660.54407515769
"505",305.942593585115
"506",347.081896203406
